name,addresslines,hours_open_per_week,gc_status_rel,has_lu,has_cl,has_wa,has_vs,zipcode,storenumber,revenue
Manhasset,"375 Plandome Road,Manhasset, NY 11030",115.5,0.94,1,0,1,1,11030,7246-553,2767537.9553087032
West Hempstead,"580 Hempstead Turnpike,West Hempstead, NY 11552",116.5,0.96,1,0,1,0,11552,29396-253406,1958310.7212021132
Mineola - 139 Jericho Tpke,"139 jericho tpke,Mineola, NY 11501",127.0,0.95,1,0,1,0,11501,55079-288372,910725.8314339336
Roslyn Heights,"373 Willis Avenue,Roslyn Heights, NY 11577",120.5,0.95,1,0,1,1,11577,7543-3408,2335485.8191583487
7th Street at Garden City,"184 7th St,Garden City, NY 11530",118.5,0.97,1,0,1,1,11530,7627-20460,943085.7168193944
Target Valley Stream T-2840,"500 W. Sunrise Hwy,Valley Stream, NY 11581",88.0,0.99,1,0,1,0,11581,18578-192502,1188261.9773093702
Village of Westbury,"379 Glen Cove Road,Westbury, NY 11590",118.5,0.97,1,0,1,1,11590,7624-31063,3070541.9714342086
Roosevelt Field Mall-Lower Level,"630 Old Country Rd,Garden City, NY 11530",90.0,0.99,1,0,1,0,11530,7746-54939,1429509.6691074318
Port Washington,"72 Main Street,Port Washington, NY 11050",108.0,0.97,1,0,1,1,11050,7203-550,790354.3451924745
Lynbrook-Sunrise Hwy.,"839 Sunrise HWY,Lynbrook, NY 11563",109.5,0.95,1,0,1,1,11563,7413-249445,840783.8068466488
Stop & Shop-Port Washington #546,"65 Shore Road,Port Washington, NY 11050",111.5,0.97,0,0,1,0,11050,72573-104042,760474.4275372535
Hewlett-Peninsula Blvd.,"1336 Peninsula Blvd.,Hewlett, NY 11557",110.5,0.95,1,0,1,0,11557,7395-273764,1248084.190217296
Wheatly Plaza-Greenvale,"132 Wheatley Plaza,Greenvale, NY 11548",106.5,0.95,1,0,1,1,11548,7331-918,1347329.670333277
Rockville Center,"21 North Park Ave,Rockville Center, NY 11570",107.0,0.99,1,1,1,1,11570,7494-8547,846018.9219055837
Hofstra University-Student Center,"1000 Fulton Avenue,Hemstead, NY 11550",92.5,0.95,1,0,1,0,11550,47121-209144,1155188.3921512412
Oceanside-Long Beach Rd.,"2755 Long Beach Rd.,Oceanside, NY 11572",119.0,0.97,1,0,1,1,11572,25937-242946,1678985.3181695018
Rockaway Tpke  Cedarhurst,"316 Rockaway Turnpike, Cedarhurst, NY 11516",107.0,0.95,0,0,0,0,11516,11536-104610,2164807.088639228
Uniondale,"1228 Hempstead Turnpike,Uniondale, NY 11553",122.5,0.95,1,0,1,0,11553,7247-758,1474186.6987288538
Baldwin-Sunrise Hwy.,"610 Sunrise Hwy.,Baldwin, NY 11510",117.0,0.95,1,0,1,0,11510,27861-248930,1040299.7580360395
Stop & Shop - Baldwin Harbor #452,"905 Atlantic Avenue,Baldwin Harbor, NY 11510",98.0,0.95,0,0,1,0,11510,73906-133727,1287338.8746843934
Target Freeport T-3236,"248 SUNRISE HWY,Freeport, NY 11520",84.0,0.95,0,0,1,0,11520,47676-259007,660955.7896186172
Merrick,"2015 Merrick Road,Merrick, NY 11566",118.0,0.95,1,0,1,1,11566,7302-555,2424840.021682776
North Merrick,"1713 Merrick Avenue,North Merrick, NY 11566",119.0,0.97,1,0,1,1,11566,13587-107917,2751025.086246156
Island Park,"4507 Austin Blvd,Island Park, NY 11558",114.0,0.95,1,0,1,0,11558,8840-95307,1458484.8123643098
Long Beach,"101 West Park Avenue,Long Beach, NY 11561",113.0,0.98,1,0,1,1,11561,7425-1903,684910.5821601981
Stop & Shop - Long Beach #2582,"85 E Park Ave,Long Beach, NY 11561",98.0,0.99,0,0,0,0,11561,73937-135227,453132.3900318466
East Meadow-Hempstead Tpke.,"2148 Hempstead Tpke.,East Meadow, NY 11554",120.0,0.97,1,0,1,0,11554,27104-246826,2950747.188852922
Wantagh,"1143 Wantagh Avenue,Wantagh, NY 11793",127.0,0.95,1,0,1,1,11793,16303-158164,1227019.5402898341
Levittown 2 - Hempstead Tpke,"2693 Hempstead Tpke,Levittown, NY 11756",122.0,0.95,1,0,1,0,11756,18569-180188,1898921.435145899
Seaford-Sunrise Hwy.,"3870 Sunrise Hwy,Seaford, NY 11783",121.0,0.95,1,0,1,0,11783,48856-261871,2574391.463665436
Massapequa Village Square,"4301 Merrick Road,Massapequa, NY 11758",124.0,0.95,1,0,1,1,11758,7307-1088,2652946.421373013
Levittown - Hempstead Tpke.,"3240 Hempstead Tpke,Levittown, NY 11756",106.5,0.95,1,0,1,1,11756,9308-96185,1695235.7446716428
Target Levittown T-1264,"3850 Hempstead Tpke,Levittown, NY 11756",86.0,0.95,0,0,1,0,11756,15619-162724,1582473.8333623281
Bethpage  Stewart Avenue,"205 Stewart Ave, Bethpage, NY 11714",121.0,0.91,0,0,0,0,11714,2782-91102,2367070.439930166
Hicksville,"180 W Old Country Road,Hicksville, NY 11801",116.5,0.99,1,0,1,1,11801,14784-131067,784699.3186644829
Amityville- Broadway,"803 Broadway,200,Amityville, NY 11701",117.5,0.9,1,0,1,1,11701,24309-237007,1139940.8088474986
Stop & Shop-Amityville #550,"351 Merrick Rd,Amityville, NY 11701",98.0,0.95,0,0,1,0,11701,79470-97520,1321001.5457611992
Target Copiague T-1147,"1149 Sunrise Hwy,Copiague, NY 11726",86.0,0.95,0,0,0,0,11726,20102-145447,1513894.2741378762
The Plaza at Farmingdale Train,"121 Secatogue Ave,Farmingdale, NY 11735",106.5,0.94,0,0,1,0,11735,27338-238540,1230072.7531136626
Farmingdale,"10 Michael Ave,Farmingdale, NY 11735",132.0,0.95,1,0,1,1,11735,7397-1675,2558895.2349221455
West Babylon-Rte. 109,"677 Route 109,West Babylon, NY 11704",119.5,0.97,1,0,1,0,11704,48342-261872,2326558.029926041
